Évolution du produit intérieur brut et de ses composantes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
par rapport au trimestre précédent en volume en %,,,,,,,,,,,,
Trimestre,Produit intérieur brut (PIB),Importations,Dépense de consommation des ménages,Dépense de consommation des APU1,Formation brute de capital fixe,dont : ,,,Exportations,Contributions :,,
,,,,,,Entreprises non financières,ménages,APU1,,Demande intérieure finale hors stocks,Variations de stocks,Commerce extérieur
1993-T4,0.26310959,3.0942317,0.32546864,0.21931245083977,-0.28605236,-0.16418788,0.64116785,-0.39939091,3.56713131,0.18259534,-0.08238107,0.16289533
1993-T3,0.12247775,0.65516881,0.0401665,0.190061190432034,-1.30447154,-1.10439674,-0.73589286,-1.26809279,1.83505722,-0.17581609,0.02810299,0.27019085
1993-T2,0.0047603,-3.17996367,0.73483134,1.08621287523079,-1.76311986,-1.3910685,-1.44780513,-2.15647627,-2.60694516,0.31417478,-0.39161821,0.08220374
1993-T1,-0.54027223,-0.32128164,-1.20154548,1.07898675659801,-1.76319848,-2.82204039,-1.31442858,-0.75318979,1.30922864,-0.70609096,-0.18077682,0.34659555
1992-T4,0.01897562,-1.22826016,0.56010386,0.939959265244461,-1.47593892,-2.28304564,-1.69870863,-0.59040853,-0.86415551,0.22283821,-0.27751621,0.07365363
1992-T3,-0.11499055,-1.81329285,0.60918112,1.15686331408451,-1.16875876,-1.93029003,-0.66695716,-0.31071449,-1.13988181,0.34245401,-0.60215418,0.14470963
1992-T2,0.11227632,-0.74191744,0.19991299,0.729777656527086,-1.38157166,-1.21449088,-2.02595517,-0.94668512,0.76134735,-0.0361276,-0.20051641,0.34892033
1992-T1,0.71522893,3.48693279,0.25507466,0.600856686368489,0.41072553,0.70084973,0.79092725,0.84132587,1.93370699,0.35823689,0.71647789,-0.35948585
1991-T4,0.48257954,-0.42453443,0.38206323,0.880046672138124,-0.85553633,-1.13070687,-3.4914769,0.68173345,2.10693408,0.20094554,-0.31140959,0.59304359
1991-T3,0.40537669,0.06658368,-0.1688299,0.536827350359381,-0.12331153,-0.64821189,-0.95957122,0.98921837,2.85204199,0.00709203,-0.24057939,0.63886404
1991-T2,0.36930429,0.00029552,0.13829263,1.31336428736895,0.43697631,0.64610609,-1.5406472,1.61303226,2.92844956,0.47260321,-0.75832959,0.65503066
1991-T1,0.26311143,3.39071932,-0.12575114,0.92911672918381,-0.88309288,-0.49835236,-2.74985161,0.13758451,1.07947655,-0.05613443,0.85580314,-0.53655728
1990-T4,-0.04802014,-0.60489451,0.7755708,0.712552596824234,-0.07002136,0.05592167,-0.53961929,0.09457871,1.49164174,0.56560413,-1.0975996,0.48397533
1990-T3,0.64978963,0.44552683,0.03786151,1.1955699677797,0.55579418,1.41732527,-1.98202694,1.10319212,1.59042555,0.42902194,-0.03273323,0.25350092
1990-T2,0.53726049,0.72343901,0.55985272,0.382715407415102,0.37327987,0.4851614,-1.20173809,1.60653661,-2.59335885,0.49171704,0.82243121,-0.77688776
1990-T1,0.2116901,0.51148135,0.9115508,1.181707214412,1.37678026,1.76335912,-0.71934016,2.58360424,1.766774,1.07530876,-1.13753545,0.27391679
1989-T4,1.34105798,3.64265925,0.57517748,0.811524711723077,1.8689584,2.49510801,0.18979739,2.21000639,2.70602945,0.93281598,0.62177613,-0.21353414
1989-T3,1.12672963,0.37694244,1.03812748,0.564338902046124,1.15401279,1.37237932,0.43838551,1.41317776,-0.39234684,0.95432168,0.34725467,-0.17484673
1989-T2,1.11567049,2.48476948,0.48623645,0.145296040682896,1.51337165,1.31425228,3.79635552,-0.34635163,2.30562797,0.65091829,0.50218044,-0.03742823
1989-T1,1.30085421,2.08875545,1.1041178,0.561888288443146,2.37468994,3.58240502,0.63224437,1.65778916,4.80764875,1.26309742,-0.55209327,0.58985006
1988-T4,0.82490123,1.51340615,0.65040358,-0.101959774185934,1.5613776,1.02336796,3.64048459,0.99773425,1.54233366,0.69133697,0.14121787,-0.00765361
1988-T3,1.26549068,4.09362966,1.27595756,0.636172166117621,2.0044815,2.44434888,2.24604132,1.0051748,2.82511598,1.29450814,0.2661466,-0.29516406
1988-T2,0.87515546,0.93577456,0.69365796,0.612903576357571,1.80440475,1.89605321,0.69771581,2.71134929,1.75407832,0.93331043,-0.22279187,0.1646369
1988-T1,1.28404769,1.45223142,0.12249904,1.10309063142051,2.40887439,2.22461483,2.17481424,2.79815799,1.178584,0.87195536,0.48126151,-0.06916918
1987-T4,1.47479057,3.14844101,1.85897503,1.26952690373403,1.9250414,2.49190375,-0.14643053,2.72784461,2.39163444,1.73927072,-0.08124494,-0.18323521
1987-T3,0.67259964,1.46206355,0.07870158,0.85395275767266,2.11943424,2.14460595,1.41153127,2.80567623,2.81414616,0.72083517,-0.32306406,0.27482853
